feature,cls,db,density
VV,permanent water,1.875,2.0000300004500068e-05
VV,permanent water,2.125,0.0
VV,permanent water,2.375,2.0000300004500068e-05
VV,permanent water,2.625,0.0
VV,permanent water,2.875,6.0000900013500204e-05
VV,permanent water,3.125,0.0
VV,permanent water,3.375,0.0
VV,permanent water,3.625,2.0000300004500068e-05
VV,permanent water,3.875,6.0000900013500204e-05
VV,permanent water,4.125,0.0
VV,permanent water,4.375,0.0
VV,permanent water,4.625,0.0
VV,permanent water,4.875,2.0000300004500068e-05
VV,permanent water,5.125,6.0000900013500204e-05
VV,permanent water,5.375,4.0000600009000136e-05
VV,permanent water,5.625,4.0000600009000136e-05
VV,permanent water,5.875,0.0
VV,permanent water,6.125,4.0000600009000136e-05
VV,permanent water,6.375,0.0
VV,permanent water,6.625,4.0000600009000136e-05
VV,permanent water,6.875,2.0000300004500068e-05
VV,permanent water,7.125,0.0
VV,permanent water,7.375,0.0
VV,permanent water,7.625,2.0000300004500068e-05
VV,permanent water,7.875,2.0000300004500068e-05
VV,permanent water,8.125,2.0000300004500068e-05
VV,permanent water,8.375,0.0
VV,permanent water,8.625,0.0
VV,permanent water,8.875,0.0
VV,permanent water,9.125,0.0
VV,permanent water,9.375,0.0
VV,permanent water,9.625,0.0
VV,permanent water,9.875,0.0
VV,flood (change detection),-34.875,0.0
VV,flood (change detection),-34.625,0.0
VV,flood (change detection),-34.375,0.0
VV,flood (change detection),-34.125,0.0
VV,flood (change detection),-33.875,0.0
VV,flood (change detection),-33.625,0.0
VV,flood (change detection),-33.375,0.0
VV,flood (change detection),-33.125,0.0
VV,flood (change detection),-32.875,0.0
VV,flood (change detection),-32.625,0.0
VV,flood (change detection),-32.375,0.0
VV,flood (change detection),-32.125,0.0
VV,flood (change detection),-31.875,0.0
VV,flood (change detection),-31.625,0.0
VV,flood (change detection),-31.375,0.0
VV,flood (change detection),-31.125,0.0
VV,flood (change detection),-30.875,0.0
VV,flood (change detection),-30.625,0.0
VV,flood (change detection),-30.375,0.0
VV,flood (change detection),-30.125,0.0
VV,flood (change detection),-29.875,0.0
VV,flood (change detection),-29.625,0.0
VV,flood (change detection),-29.375,0.0
VV,flood (change detection),-29.125,0.0
VV,flood (change detection),-28.875,0.0
VV,flood (change detection),-28.625,0.0
VV,flood (change detection),-28.375,0.0
VV,flood (change detection),-28.125,0.0
VV,flood (change detection),-27.875,0.0
VV,flood (change detection),-27.625,0.0
VV,flood (change detection),-27.375,0.0
VV,flood (change detection),-27.125,0.0
VV,flood (change detection),-26.875,0.0
VV,flood (change detection),-26.625,0.0
VV,flood (change detection),-26.375,0.0
VV,flood (change detection),-26.125,0.0
VV,flood (change detection),-25.875,0.0
VV,flood (change detection),-25.625,0.0
VV,flood (change detection),-25.375,2e-05
VV,flood (change detection),-25.125,0.0
VV,flood (change detection),-24.875,0.0
VV,flood (change detection),-24.625,2e-05
VV,flood (change detection),-24.375,8e-05
VV,flood (change detection),-24.125,0.00024
VV,flood (change detection),-23.875,0.00026
VV,flood (change detection),-23.625,0.00066
VV,flood (change detection),-23.375,0.00152
VV,flood (change detection),-23.125,0.00242
VV,flood (change detection),-22.875,0.00516
VV,flood (change detection),-22.625,0.00914
VV,flood (change detection),-22.375,0.01426
VV,flood (change detection),-22.125,0.02308
VV,flood (change detection),-21.875,0.0343
VV,flood (change detection),-21.625,0.04508
VV,flood (change detection),-21.375,0.06364
VV,flood (change detection),-21.125,0.08238
VV,flood (change detection),-20.875,0.10384
VV,flood (change detection),-20.625,0.1257
VV,flood (change detection),-20.375,0.14878
VV,flood (change detection),-20.125,0.1721
VV,flood (change detection),-19.875,0.19208
