feature,flood_mean,flood_sd,land_mean,land_sd,bhattacharyya,otsu_db,f1_at_otsu,iou_at_otsu
VV,-18.291374,2.1629858,-5.588769,2.5345407,3.639618,-11.857769012451172,0.9904005427394974,0.9809836322880953
VH,-21.909426,1.6378012,-12.122172,2.0034301,3.5864177,-17.012096405029297,0.9797824871045926,0.9603662696633594
VV-VH,3.618012,1.7186575,6.5379786,1.9018112,0.32696316,5.052860736846924,0.807514002065446,0.6771685398940541
