model,water_km2,flood_km2,km2_tree,km2_shrub,km2_grass,km2_cropland,km2_built-up,km2_bare,km2_water,km2_herb. wetland,km2_mangrove
deeplab_r34,1569.1028,378.2732,14.8753,0.1006,30.9833,171.0841,1.2288,0.4949,82.69380000000001,76.4316,0.3808
segformer_b0,834.7876,378.9171,35.3432,0.1158,43.4298,143.3477,2.7094,0.9684,88.23490000000001,63.9971,0.7708
segformer_b2,978.3109,461.6247,33.0023,0.1141,42.8815,187.1223,2.0772,0.7265,100.6262,94.3333,0.7413000000000001
unet_r18,839.3732,192.4388,14.5311,0.0855,22.7867,73.9937,0.9532,0.1971,58.2955,21.0744,0.5216000000000001
unet_r34,363.627,150.2584,14.055,0.0592,20.024,47.7683,0.9432,0.0878,53.632200000000005,13.1839,0.5048
