method,event_km2,others_mean_km2,others_sd_km2,others_max_km2,z_score,rank_of_season,n_passes,min_detectable_km2,event_excess_km2,separable
cd_vv,5.6897,4.1004375,1.368693319439593,6.2926,1.1611531067096306,3,9,2.737386638879186,1.5892625000000002,False
otsu_vv,29.7144,27.2181125,14.006939720564795,48.1941,0.17821790839400747,4,9,28.01387944112959,2.496287500000001,False
split_vv,24.684900000000003,20.5777,8.418500403448178,31.5761,0.48787786460373783,4,9,16.837000806896356,4.107200000000002,False
urban_incr,42.0426,27.542987500000002,16.95273909957895,56.8725,0.8552961509541618,3,9,33.9054781991579,14.499612499999998,False
