feature,flood_mean,flood_sd,land_mean,land_sd,bhattacharyya,otsu_db,f1_at_otsu,iou_at_otsu
VV,-19.364748,2.5522847,-7.7648187,2.0487964,3.152421,-13.599136352539062,0.9969667287278455,0.9939518032770591
VH,-22.71501,1.7015613,-13.915866,1.8953465,2.9864538,-18.378915786743164,0.9890485865502797,0.9783344415883445
VV-VH,3.3522375,1.8484273,6.1473575,1.6746916,0.31638253,4.564116477966309,0.7794787880695019,0.6386441959796836
