zoom,filter,land_side_db,water_side_db,contrast_db,n_edge_px,retention
flood_cluster_1,raw,-14.905415,-18.641397,3.735983,57917,1.0
flood_cluster_1,Lee 5x5,-14.778508,-17.998838,3.2203302,57917,0.8619767
flood_cluster_1,Refined Lee,-14.724415,-17.877789,3.1533737,57917,0.84405464
flood_cluster_2,raw,-18.486027,-20.13809,1.6520634,70503,1.0
flood_cluster_2,Lee 5x5,-18.237864,-19.691847,1.4539833,70503,0.88010144
flood_cluster_2,Refined Lee,-18.253124,-19.697233,1.444109,70503,0.8741244
flood_cluster_3,raw,-16.582813,-19.20009,2.6172771,51838,1.0
flood_cluster_3,Lee 5x5,-16.354979,-18.602472,2.2474937,51838,0.85871446
flood_cluster_3,Refined Lee,-16.300625,-18.514004,2.213379,51838,0.84568
