event,method,threshold_db,area_km2,area_km2_districts,raw_km2,rm_perm_km2,rm_hand_km2,rm_slope_km2,km2_tree,km2_shrub,km2_grass,km2_cropland,km2_built-up,km2_bare,km2_perm. water,km2_herb. wetland,km2_mangrove,km2_snow,km2_moss
assam_2022,otsu_vv,-13.524946212768556,474.7251,474.7251,623.0881,131.6456,0.2102,14.2159,5.1185,0.0387,14.2469,66.93130000000001,0.0151,15.1477,369.6137,3.6132,0.0,0.0,0.0
assam_2022,otsu_vh,-17.846942901611328,723.1075000000001,723.1075000000001,882.0558000000001,135.56310000000002,0.5218,19.0817,9.1153,0.0646,22.6459,249.7008,0.1215,22.221400000000003,415.1074,4.1306,0.0,0.0,0.0
assam_2022,split_vv,-13.989095687866213,453.8672,453.8672,600.1459,130.4527,0.2054,13.528,4.484500000000001,0.0345,13.2184,56.9382,0.0103,14.4011,361.2993,3.4809,0.0,0.0,0.0
assam_2022,cd_vv,,268.1994,268.1994,338.0373,58.2933,0.1135,8.727400000000001,3.3541000000000003,0.0343,8.7985,49.4189,0.0078,9.5985,194.3831,2.6042,0.0,0.0,0.0
assam_2022,urban_incr,,0.8496,0.8496,1.7014,,,,0.0,0.0,0.0,0.0,0.8496,0.0,0.0,0.0,0.0,0.0,0.0
