model,water_km2,flood_km2,km2_tree,km2_shrub,km2_grass,km2_cropland,km2_built-up,km2_bare,km2_water,km2_herb. wetland,km2_mangrove
deeplab_r34,22.9128,20.7962,1.5985,3.2587,1.6358,11.1357,0.2052,0.3595,2.5629,0.0399,0.0
segformer_b0,42.6407,35.8128,3.2535000000000003,5.0881,2.7118,15.3709,1.1215000000000002,0.7747,7.2945,0.1978,0.0
segformer_b2,36.1321,31.8949,2.2207,5.2331,2.2442,15.0876,0.2549,0.4737,6.1974,0.1833,0.0
unet_r18,14.1942,13.1304,0.949,1.9043,0.8337,7.781000000000001,0.1374,0.2802,1.2351,0.0097,0.0
unet_r34,11.357,10.3971,0.7648,1.3069000000000002,0.6617000000000001,6.1702,0.1159,0.2565,1.1107,0.0104,0.0
