event,method,threshold_db,area_km2,area_km2_districts,raw_km2,rm_perm_km2,rm_tidal_km2,rm_hand_km2,rm_slope_km2,km2_tree,km2_shrub,km2_grass,km2_cropland,km2_built-up,km2_bare,km2_perm. water,km2_herb. wetland,km2_mangrove,km2_snow,km2_moss
bengaluru_2022,cd_vv,,16.3865,16.3865,18.8066,0.0625,0.0,0.9586,0.2752,2.5805,2.3262,0.8316,9.7579,0.284,0.1886,0.3152,0.1025,0.0,0.0,0.0
bengaluru_2022,urban_incr,,235.1826,235.1826,244.4043,,,,,0.0,0.0,0.0,0.0,235.1826,0.0,0.0,0.0,0.0,0.0,0.0
