epoch,loss,val_iou,val_f1,sec,model
1,1.2001163817587353,0.5364478208364144,0.6982961784467003,112.43575119972228,deeplab_r34
2,0.7799773573402374,0.5844346078179796,0.7377200736896801,107.70716667175292,deeplab_r34
3,0.7031997264850707,0.2142568407398661,0.3529020114217615,122.37712001800536,deeplab_r34
4,0.686773365452176,0.189121840407105,0.3180865643546799,122.95304250717165,deeplab_r34
5,0.6774607674470023,0.5554280433128778,0.7141803128737242,117.2358992099762,deeplab_r34
6,0.6478517980329574,0.5970059087742361,0.7476564807859243,124.81909108161926,deeplab_r34
7,0.6386259247859319,0.3291736832123496,0.4953057487819078,123.50817203521729,deeplab_r34
8,0.6095812169332353,0.5531678078387637,0.7123091336904515,153.31911659240723,deeplab_r34
9,0.6047258552104707,0.5714250397708802,0.7272698669154415,153.9851098060608,deeplab_r34
10,0.6481434290726034,0.544472428892521,0.7050594348038187,150.6460735797882,deeplab_r34
11,0.597280620878178,0.0529344229565281,0.1005464762143379,150.62431526184082,deeplab_r34
12,0.6370312510028718,0.0620520581271926,0.1168531385111467,130.9159049987793,deeplab_r34
13,0.5701517764892843,0.5196946706049348,0.6839461645253561,132.3396770954132,deeplab_r34
14,0.6016872037970831,0.530421930301303,0.6931708436729939,127.9157726764679,deeplab_r34
15,0.5663076651001734,0.6345285905420581,0.7764056183705292,152.41142082214355,deeplab_r34
16,0.5847508951075493,0.5971885102949321,0.7477996572673279,223.1549503803253,deeplab_r34
17,0.5817976032221128,0.5668742620466526,0.7235733916596484,223.1033072471619,deeplab_r34
18,0.5659876348716872,0.585264971829595,0.7383812576822734,113.69497871398926,deeplab_r34
19,0.5813311882435329,0.6291987808768049,0.7724027150795947,97.40533399581908,deeplab_r34
20,0.5783309954262915,0.619526509485205,0.7650711561147986,97.2736678123474,deeplab_r34
21,0.5707932218081422,0.4310009956833615,0.6023769333263683,102.88369846343994,deeplab_r34
22,0.5520944996249109,0.575224475335332,0.7303396872536264,97.2269766330719,deeplab_r34
23,0.537677450667298,0.6081566211180124,0.7563400394362256,96.95037841796876,deeplab_r34
24,0.5468588206503127,0.6261917821539976,0.770132759279555,96.16146898269652,deeplab_r34
25,0.5208005767374758,0.5258756225855715,0.6892771793476636,96.71022367477416,deeplab_r34
26,0.5545456481003572,0.6293293810540103,0.7725011141048695,96.66707682609558,deeplab_r34
27,0.5464467170337836,0.6398846168723313,0.780401999370847,97.18115830421448,deeplab_r34
28,0.5709048213348502,0.6459817428878808,0.7849196938898041,95.96193432807922,deeplab_r34
29,0.5572132436292512,0.5515653201439925,0.7109791808092291,138.01807975769043,deeplab_r34
30,0.5443665025134882,0.616694299900432,0.762907743212075,95.44694972038268,deeplab_r34
31,0.5464496461171953,0.6485874909356273,0.7868402429373434,95.95880556106567,deeplab_r34
32,0.5191939683069312,0.6087554217431937,0.7568029465704198,95.92043137550354,deeplab_r34
33,0.5512849534787829,0.6171522030771103,0.7632580308802049,97.0082232952118,deeplab_r34
34,0.4892610746716696,0.62463242865748,0.7689523090138572,97.08587288856506,deeplab_r34
35,0.5007349540671658,0.5660177044268571,0.722875230371693,96.9730613231659,deeplab_r34
36,0.5180346563694969,0.6388426958398301,0.7796266200063249,95.93300914764404,deeplab_r34
37,0.5229283197531625,0.6412356045141162,0.781405914849078,161.06439781188965,deeplab_r34
38,0.5158554120432763,0.6547656332341747,0.7913696297335604,222.94093704223636,deeplab_r34
39,0.5082013824629406,0.5991179307184668,0.7493105032588677,223.0262520313263,deeplab_r34
40,0.5077501617017246,0.6098496968420541,0.7576479941430058,222.9775817394257,deeplab_r34
41,0.4883645388578612,0.579087313114301,0.7334455901266356,223.005398273468,deeplab_r34
42,0.5010591329681495,0.5912501156642295,0.743126564257846,223.0395267009735,deeplab_r34
43,0.4910830375812356,0.546737396658287,0.7069556834140152,222.99522709846497,deeplab_r34
44,0.4948171598334161,0.63667080763188,0.7780071651098698,223.0808844566345,deeplab_r34
45,0.5221912187952844,0.6492457647873576,0.7873244590336321,142.17008018493652,deeplab_r34
46,0.4851915208356721,0.5887353473280087,0.7411370916095807,88.9503128528595,deeplab_r34
47,0.4887912634109694,0.5700031444468818,0.7261172010552833,90.23243737220764,deeplab_r34
48,0.4849414497259117,0.6442620809819942,0.7836488944599694,91.03822684288023,deeplab_r34
49,0.5043957716534062,0.6335470030679602,0.7756703686861747,94.6088936328888,deeplab_r34
50,0.4974243670465454,0.6037766553708088,0.7529435639917202,93.40358233451845,deeplab_r34
51,0.4723681108582587,0.597978361597933,0.748418596857559,94.63790202140808,deeplab_r34
52,0.4834647558570381,0.6202657878198499,0.7656346168420294,94.48362231254578,deeplab_r34
53,0.4753306260007241,0.5776433086203813,0.7322863228514171,97.6531457901001,deeplab_r34
1,1.5334196038662442,0.3696056645536648,0.539725665743525,79.65120959281921,segformer_b0
2,0.8957231783914188,0.4945936779075585,0.6618436638913033,71.23676753044128,segformer_b0
3,0.737606114574841,0.6112123438321899,0.7586986857094841,69.41826844215393,segformer_b0
4,0.6556775364137831,0.544886584402953,0.7054065844108982,71.81839108467102,segformer_b0
5,0.6016480191832497,0.6298017500013612,0.7728568827476535,68.90278482437134,segformer_b0
6,0.596458005999762,0.5770058658475212,0.7317738993157444,71.12556672096252,segformer_b0
7,0.5886374769939317,0.6182463315033648,0.7640942166437771,71.29054021835327,segformer_b0
8,0.5999228650378803,0.6357051919691666,0.7772857787458192,69.3596761226654,segformer_b0
9,0.5939772455465226,0.632881158084135,0.7751711200179401,70.79258704185486,segformer_b0
10,0.5448990772286105,0.6325479217854875,0.7749211074841608,70.22582387924194,segformer_b0
11,0.565660141763233,0.6107173440536711,0.7583172135176576,69.47473382949829,segformer_b0
12,0.5772119360192428,0.6306919746483247,0.7735268026744779,73.62459468841553,segformer_b0
13,0.552244633436203,0.6454662791806189,0.784539054184735,71.0872392654419,segformer_b0
14,0.547498514668809,0.6471228642581729,0.7857614975791408,70.99759316444397,segformer_b0
15,0.5380825722028338,0.6402317755196688,0.7806601299585559,69.70119023323059,segformer_b0
16,0.5526997922727513,0.6220679592154018,0.7670060377942457,72.773024559021,segformer_b0
17,0.514945183599752,0.678791138528008,0.8086665731666696,75.1264910697937,segformer_b0
18,0.5333943403665982,0.6336113493444029,0.7757185937752971,73.7612874507904,segformer_b0
19,0.5210150906609164,0.64232608654782,0.7822150446358598,74.0396728515625,segformer_b0
20,0.541384655834427,0.6378119573465735,0.7788585917761836,74.01365876197815,segformer_b0
21,0.5091488780010314,0.6715343994067123,0.8034945612187988,74.25399518013,segformer_b0
22,0.493155778932666,0.6685571609512682,0.8013596136797785,69.42121195793152,segformer_b0
23,0.5423751372016139,0.644076248578762,0.783511408470915,68.40244007110596,segformer_b0
24,0.5180373928021818,0.6428889205690633,0.7826322431420131,68.39961290359497,segformer_b0
25,0.5270952588863789,0.6788938970877125,0.8087394900480054,68.28512811660767,segformer_b0
26,0.4976045759542594,0.6288431427840334,0.7721346841405601,67.75427508354187,segformer_b0
27,0.5189445815862171,0.6548149751436368,0.7914056676781033,67.45105385780334,segformer_b0
28,0.51132234369242,0.6655524468992584,0.7991972250868599,67.68840861320496,segformer_b0
29,0.4857823780427376,0.6340182737372034,0.7760234801868214,67.62306427955627,segformer_b0
30,0.4974478033799974,0.6844407588164301,0.8126623097120392,67.30400896072388,segformer_b0
31,0.4626812279106133,0.6875407059455401,0.8148434032117838,67.70593452453613,segformer_b0
32,0.4565459820367987,0.622775240752928,0.7675434343747758,67.80477786064148,segformer_b0
33,0.5004785971509086,0.6587352929522685,0.7942621052932817,72.40009236335754,segformer_b0
34,0.4734830605605292,0.6542169002301553,0.7909687056626401,82.82802033424377,segformer_b0
35,0.4632023144513368,0.6786372671151129,0.8085573702070981,79.25486350059509,segformer_b0
36,0.4546770654500477,0.6841552068434021,0.8124609941689501,81.57858490943909,segformer_b0
37,0.4719976158369155,0.6162334342473106,0.7625549888890822,80.4250910282135,segformer_b0
38,0.4285479909962132,0.6640646890729419,0.79812364679512,81.61304378509521,segformer_b0
39,0.4375688745566303,0.6412499524852355,0.7814165679203626,90.3910813331604,segformer_b0
40,0.4475173309504512,0.6627180609822558,0.7971502523894557,80.48423552513123,segformer_b0
41,0.4400310082331536,0.6775339406791339,0.8077737496087151,84.66922783851624,segformer_b0
42,0.4405371540240825,0.6794030864036348,0.809100676191498,82.84126615524292,segformer_b0
43,0.4098323292084156,0.6721862930702516,0.80396101302334,83.94468760490417,segformer_b0
44,0.4106664962120472,0.672310187063844,0.8040496222106398,77.40720582008362,segformer_b0
45,0.4415813755717069,0.6730985600549554,0.8046131604259422,79.41155076026917,segformer_b0
46,0.4187796593067192,0.6827656199524705,0.8114803533622884,78.5298364162445,segformer_b0
1,1.1633250401133584,0.4828581996130647,0.651253369660108,211.24395942687988,segformer_b2
2,0.8482845471728415,0.569403874275246,0.7256307743450651,177.89187288284302,segformer_b2
3,0.6587055776682165,0.6275975181663537,0.771194980529834,177.942321062088,segformer_b2
4,0.6281374079130945,0.6372195030901323,0.7784167020823134,184.83292818069455,segformer_b2
5,0.5559658655926348,0.5821243370536008,0.7358768504094871,222.08288621902463,segformer_b2
6,0.5497992871299623,0.644974323833716,0.7841755515436409,294.45681166648865,segformer_b2
7,0.5259900495764755,0.6228650747284499,0.7676116572200833,216.5253984928131,segformer_b2
8,0.5407491501361604,0.6329411343634963,0.7752161067461998,182.60112166404724,segformer_b2
9,0.5372673647980841,0.6280781370821555,0.7715577315076514,199.15609788894653,segformer_b2
10,0.4979895863031584,0.6150614612072242,0.7616570340889427,219.34768533706665,segformer_b2
11,0.5050611295515582,0.651918520165436,0.7892865322439122,227.2014689445496,segformer_b2
12,0.4603347010792248,0.6196901033332989,0.7651958878528499,249.4005377292633,segformer_b2
13,0.4866792841090096,0.66851261218378,0.8013276103544922,243.93672919273376,segformer_b2
14,0.5177950698823209,0.641785828365275,0.7818143113152592,225.7763357162476,segformer_b2
15,0.5109794462129237,0.6842855044407435,0.8125528630823861,221.0364489555359,segformer_b2
16,0.4791489064338661,0.630262690983743,0.7732038455758636,232.4012877941132,segformer_b2
17,0.4358472006232847,0.6512416622485394,0.7887902505581484,189.2844271659851,segformer_b2
18,0.4841731175898559,0.6881889305990072,0.8152984753369072,197.2292764186859,segformer_b2
19,0.4570946184297402,0.6529774481479884,0.7900621377255819,209.0405311584473,segformer_b2
20,0.4457845711518848,0.6865582070725124,0.8141529941788653,235.9307177066803,segformer_b2
21,0.4382924806504022,0.6757872306346682,0.8065310658546173,210.08760929107663,segformer_b2
22,0.4402622044796035,0.6098914627521648,0.7576802248637736,207.40380787849423,segformer_b2
23,0.4364948810802566,0.6820305695060321,0.8109609680950406,206.70137095451355,segformer_b2
24,0.3998282130748506,0.6748160278758899,0.8058389896491919,193.75909972190857,segformer_b2
25,0.4359783733056651,0.6149297674393929,0.7615560500992137,194.1544542312622,segformer_b2
26,0.4143281636966599,0.6534706942883455,0.7904230737752501,201.4487121105194,segformer_b2
27,0.4054905072091118,0.6715597381913043,0.8035126987659553,204.324285030365,segformer_b2
28,0.4143158804093088,0.6747920368747298,0.8058218835741963,196.76940178871155,segformer_b2
29,0.4177639014309361,0.662892866414939,0.7972766974989578,194.2563760280609,segformer_b2
30,0.3928563284820744,0.6972858312165917,0.8216480906068562,188.18384265899655,segformer_b2
31,0.3832022750838881,0.6733241241777006,0.804774298593924,192.3393929004669,segformer_b2
32,0.3736376719224074,0.6688074553040776,0.8015393905131045,185.5702040195465,segformer_b2
33,0.3936798677794517,0.6860737553631552,0.8138122702887159,179.57989716529846,segformer_b2
34,0.3419980424500647,0.6640687998381899,0.7981266158018976,182.1816122531891,segformer_b2
35,0.3662714786117985,0.6684771239929855,0.8013021148209593,187.55452275276184,segformer_b2
36,0.3634710969432952,0.678055524779544,0.8081443251034547,192.2684588432312,segformer_b2
37,0.3697157353754081,0.6940756564744301,0.8194151823406551,191.9948260784149,segformer_b2
38,0.3530192710459232,0.6446260132603838,0.7839180556100375,189.9547300338745,segformer_b2
39,0.3608287723646277,0.6800070609290081,0.8095288129955581,173.4488673210144,segformer_b2
40,0.3435887299655449,0.6911633986427048,0.8173821633053544,178.10022830963135,segformer_b2
41,0.3394845999659054,0.6835873774968884,0.8120604687749885,181.46776723861691,segformer_b2
42,0.341191739834372,0.6783866827134107,0.8083794869209495,182.91304063797,segformer_b2
43,0.3539377024604214,0.690636600710284,0.8170136626879225,180.61782670021057,segformer_b2
44,0.3366290952951189,0.6829972306547687,0.8116439150515408,182.006071805954,segformer_b2
45,0.3300253241544678,0.6805605472711114,0.8099208902365383,201.98538517951965,segformer_b2
1,1.3596156617951771,0.4746529308454838,0.6437486691507055,76.43362283706665,unet_r18
2,0.8731669310539488,0.5674972781933317,0.7240807191032811,68.90067076683044,unet_r18
3,0.7344810818395917,0.59301587686537,0.7445197320095353,80.70776605606079,unet_r18
4,0.6623552866161816,0.4594082703655159,0.6295815635613123,93.42182898521423,unet_r18
5,0.6574229550740075,0.6079453200521316,0.7561766093295029,100.60683417320251,unet_r18
6,0.68429154063028,0.5858685269538202,0.7388614087438541,101.16313409805298,unet_r18
7,0.6657140563641276,0.5797897173990376,0.7340087240896873,102.05623626708984,unet_r18
8,0.6363442670258265,0.4609940631250464,0.6310690436879483,104.53601503372192,unet_r18
9,0.6346983735760053,0.2977841543773111,0.4589116816889951,93.85927724838255,unet_r18
10,0.6536283089764534,0.6179916309634379,0.7638996631836136,118.07225680351256,unet_r18
11,0.5954467553704504,0.2094021385937271,0.3462903395180308,117.66961407661438,unet_r18
12,0.6422117229491945,0.5986086454591644,0.7489120581944901,101.80290293693542,unet_r18
13,0.6357463111007025,0.4055125939019001,0.5770316049266272,74.77325105667114,unet_r18
14,0.6171181735301775,0.6197121609981765,0.765212703739,84.15110039710999,unet_r18
15,0.6144573386935961,0.6143452554037027,0.7611076420577357,73.74160170555115,unet_r18
16,0.5862025890558485,0.6066324702884183,0.7551602267561756,73.81912422180176,unet_r18
17,0.6138485702612098,0.6097945892746613,0.7576054651164179,77.99935460090637,unet_r18
18,0.5960791452181717,0.5851958390620184,0.7383262365970966,77.92135047912598,unet_r18
19,0.5712002161003294,0.5343873392565333,0.6965481604083926,73.64512753486633,unet_r18
20,0.6167709466720385,0.6266307378797885,0.7704646460776494,78.20091271400452,unet_r18
