feature,cls,db,density
VV,permanent water,5.125,0.0
VV,permanent water,5.375,0.0
VV,permanent water,5.625,0.0
VV,permanent water,5.875,0.0
VV,permanent water,6.125,0.0
VV,permanent water,6.375,0.0
VV,permanent water,6.625,0.0
VV,permanent water,6.875,0.0
VV,permanent water,7.125,0.0
VV,permanent water,7.375,0.0
VV,permanent water,7.625,0.0
VV,permanent water,7.875,0.0
VV,permanent water,8.125,0.0
VV,permanent water,8.375,0.0
VV,permanent water,8.625,0.0
VV,permanent water,8.875,0.0
VV,permanent water,9.125,0.0
VV,permanent water,9.375,0.0
VV,permanent water,9.625,0.0
VV,permanent water,9.875,0.0
VV,flood (change detection),-34.875,0.0
VV,flood (change detection),-34.625,0.0
VV,flood (change detection),-34.375,0.0
VV,flood (change detection),-34.125,0.0
VV,flood (change detection),-33.875,0.0
VV,flood (change detection),-33.625,0.0
VV,flood (change detection),-33.375,0.0
VV,flood (change detection),-33.125,0.0
VV,flood (change detection),-32.875,0.0
VV,flood (change detection),-32.625,0.0
VV,flood (change detection),-32.375,0.0
VV,flood (change detection),-32.125,0.0
VV,flood (change detection),-31.875,0.0
VV,flood (change detection),-31.625,0.0
VV,flood (change detection),-31.375,0.0
VV,flood (change detection),-31.125,0.0
VV,flood (change detection),-30.875,0.0
VV,flood (change detection),-30.625,0.0
VV,flood (change detection),-30.375,0.0
VV,flood (change detection),-30.125,0.0
VV,flood (change detection),-29.875,0.0
VV,flood (change detection),-29.625,0.0
VV,flood (change detection),-29.375,0.0
VV,flood (change detection),-29.125,0.0
VV,flood (change detection),-28.875,0.0
VV,flood (change detection),-28.625,0.0
VV,flood (change detection),-28.375,0.0
VV,flood (change detection),-28.125,0.0
VV,flood (change detection),-27.875,0.0
VV,flood (change detection),-27.625,0.0
VV,flood (change detection),-27.375,0.0
VV,flood (change detection),-27.125,0.0
VV,flood (change detection),-26.875,0.0
VV,flood (change detection),-26.625,0.0
VV,flood (change detection),-26.375,0.0
VV,flood (change detection),-26.125,0.0
VV,flood (change detection),-25.875,0.0
VV,flood (change detection),-25.625,0.0
VV,flood (change detection),-25.375,0.0
VV,flood (change detection),-25.125,0.0
VV,flood (change detection),-24.875,0.0
VV,flood (change detection),-24.625,0.0
VV,flood (change detection),-24.375,2.4410337778049005e-05
VV,flood (change detection),-24.125,0.0
VV,flood (change detection),-23.875,2.4410337778049005e-05
VV,flood (change detection),-23.625,2.4410337778049005e-05
VV,flood (change detection),-23.375,7.323101333414701e-05
VV,flood (change detection),-23.125,7.323101333414701e-05
VV,flood (change detection),-22.875,2.4410337778049005e-05
VV,flood (change detection),-22.625,4.882067555609801e-05
VV,flood (change detection),-22.375,7.323101333414701e-05
VV,flood (change detection),-22.125,0.000268513715558539
VV,flood (change detection),-21.875,0.000537027431117078
VV,flood (change detection),-21.625,0.0009520031733439112
VV,flood (change detection),-21.375,0.0011472858755683032
VV,flood (change detection),-21.125,0.0018795960089097732
VV,flood (change detection),-20.875,0.0030757025600341745
VV,flood (change detection),-20.625,0.004296219448936624
VV,flood (change detection),-20.375,0.0072010496445244565
VV,flood (change detection),-20.125,0.010105879840112287
VV,flood (change detection),-19.875,0.015305281786836725
VV,flood (change detection),-19.625,0.02060232508467336
VV,flood (change detection),-19.375,0.02768132304030757
VV,flood (change detection),-19.125,0.03651786531596131
VV,flood (change detection),-18.875,0.04655051414273945
VV,flood (change detection),-18.625,0.05880450370732005
VV,flood (change detection),-18.375,0.07176639306746407
VV,flood (change detection),-18.125,0.08507002715650078
VV,flood (change detection),-17.875,0.10179110853446434
VV,flood (change detection),-17.625,0.12188081652579867
VV,flood (change detection),-17.375,0.13032679339700362
VV,flood (change detection),-17.125,0.1420193451926891
VV,flood (change detection),-16.875,0.1518811216550209
VV,flood (change detection),-16.625,0.15776401305953072
VV,flood (change detection),-16.375,0.16220669453513564
VV,flood (change detection),-16.125,0.15605528941506727
VV,flood (change detection),-15.875,0.15424892441949165
VV,flood (change detection),-15.625,0.1456076648460623
VV,flood (change detection),-15.375,0.14392335153937694
VV,flood (change detection),-15.125,0.13535532297928174
VV,flood (change detection),-14.875,0.1287645317792085
VV,flood (change detection),-14.625,0.12515180178805724
VV,flood (change detection),-14.375,0.12278399902358648
VV,flood (change detection),-14.125,0.12002563085466696
VV,flood (change detection),-13.875,0.11550971836572789
VV,flood (change detection),-13.625,0.11309309492570103
VV,flood (change detection),-13.375,0.10384157690782046
VV,flood (change detection),-13.125,0.10528178683672536
VV,flood (change detection),-12.875,0.099130381716657
VV,flood (change detection),-12.625,0.09102614957434474
VV,flood (change detection),-12.375,0.08546059256094957
VV,flood (change detection),-12.125,0.0808470387208983
VV,flood (change detection),-11.875,0.07078997955634211
VV,flood (change detection),-11.625,0.06581027064962011
VV,flood (change detection),-11.375,0.05709578006285662
VV,flood (change detection),-11.125,0.050114423458334605
VV,flood (change detection),-10.875,0.044451225093827235
VV,flood (change detection),-10.625,0.03571232416928569
VV,flood (change detection),-10.375,0.031294053031458824
VV,flood (change detection),-10.125,0.026851371555853903
VV,flood (change detection),-9.875,0.023189820889146555
VV,flood (change detection),-9.625,0.021603148933573367
VV,flood (change detection),-9.375,0.020236170018002625
VV,flood (change detection),-9.125,0.016354926311292834
VV,flood (change detection),-8.875,0.012424861929026943
VV,flood (change detection),-8.625,0.011155524364568395
VV,flood (change detection),-8.375,0.010642907271229365
VV,flood (change detection),-8.125,0.008055411466756172
VV,flood (change detection),-7.875,0.007493973697861044
VV,flood (change detection),-7.625,0.007518384035639093
VV,flood (change detection),-7.375,0.007957770115643975
VV,flood (change detection),-7.125,0.007738077075641534
VV,flood (change detection),-6.875,0.007664846062307387
VV,flood (change detection),-6.625,0.008763311262319592
VV,flood (change detection),-6.375,0.008445976871204955
VV,flood (change detection),-6.125,0.008226283831202514
VV,flood (change detection),-5.875,0.008860952613431788
VV,flood (change detection),-5.625,0.009080645653434229
VV,flood (change detection),-5.375,0.007664846062307387
VV,flood (change detection),-5.125,0.007371922008970799
VV,flood (change detection),-4.875,0.006493149848961035
VV,flood (change detection),-4.625,0.004833246880053703
VV,flood (change detection),-4.375,0.0
VV,flood (change detection),-4.125,0.0
VV,flood (change detection),-3.875,0.0
VV,flood (change detection),-3.625,0.0
VV,flood (change detection),-3.375,0.0
VV,flood (change detection),-3.125,0.0
VV,flood (change detection),-2.875,0.0
VV,flood (change detection),-2.625,0.0
VV,flood (change detection),-2.375,0.0
VV,flood (change detection),-2.125,0.0
VV,flood (change detection),-1.875,0.0
VV,flood (change detection),-1.625,0.0
VV,flood (change detection),-1.375,0.0
VV,flood (change detection),-1.125,0.0
VV,flood (change detection),-0.875,0.0
VV,flood (change detection),-0.625,0.0
VV,flood (change detection),-0.375,0.0
VV,flood (change detection),-0.125,0.0
VV,flood (change detection),0.125,0.0
VV,flood (change detection),0.375,0.0
VV,flood (change detection),0.625,0.0
VV,flood (change detection),0.875,0.0
VV,flood (change detection),1.125,0.0
VV,flood (change detection),1.375,0.0
VV,flood (change detection),1.625,0.0
VV,flood (change detection),1.875,0.0
VV,flood (change detection),2.125,0.0
VV,flood (change detection),2.375,0.0
VV,flood (change detection),2.625,0.0
VV,flood (change detection),2.875,0.0
VV,flood (change detection),3.125,0.0
VV,flood (change detection),3.375,0.0
VV,flood (change detection),3.625,0.0
VV,flood (change detection),3.875,0.0
VV,flood (change detection),4.125,0.0
VV,flood (change detection),4.375,0.0
VV,flood (change detection),4.625,0.0
