zoom,filter,land_side_db,water_side_db,contrast_db,n_edge_px,retention
bellandur_varthur,raw,-12.866007,-15.667776,2.8017693,6171,1.0
bellandur_varthur,Lee 5x5,-12.543173,-14.946431,2.4032583,6171,0.85776454
bellandur_varthur,Refined Lee,-12.434233,-14.750053,2.3158207,6171,0.82655656
