run,cls,iou,f1,precision,recall,n_true
unet_r34_int,open_flood,0.7572397217867779,0.8618513597186495,0.8650101936186467,0.8587155126594436,7960421
unet_r34_int,urban_flood,0.17862269387097263,0.3031041143189238,0.24112891711257214,0.4079578525991281,173866
